Membership No  Date Joined  Active  
    87348      2015-2-2     no    
    76114      2017-2-2     no    
    20570      2018-6-1     no    
    18292      2016-3-21    no    
    33504      2016-5-20    no    
    40099      2017-10-13   no    
    60996      2018-7-19    no    
    19750      2018-3-22    no    
    85400      2018-10-10   no    
    99372      2018-11-13   no    
    94663      2019-11-12   no    
    35528      2020-12-7    no    
    77792      2015-3-21    no    
    59745      2019-8-4     no    
